province,month,MinRain,MaxRain,AvgRain,AvgFloodRiskArea(Square meter),flooding,,,,
Sakon Nakhon,10,128.87,252.3,190.8,86.5,0,,,,
Chiang Mai,10,0.38,333.03,153.75,20264146.45,0,,,,
Lamphun,10,114.21,363.75,177.49,5004568.22,1,,,,
Lampang,10,110.52,436.94,168.75,8599406.57,0,,,,
Uttaradit,10,118.69,196.42,158.94,16085958.93,0,,,,
Phrae,10,100.51,187.17,128.69,16892142.82,0,,,,
Nan,10,80.64,147.51,116.11,22743154.42,0,,,,
Phayao,10,103.45,202.88,158.74,26200648.21,0,,,,
Chiang Rai,10,107.97,230.87,195.02,20554196.06,0,,,,
Mae Hong Son,10,102.26,212.66,127.94,13223820.53,0,,,,
Nakhon Sawan,10,134.01,254.99,183.79,7632560.65,0,,,,
Uthai Thani,10,187.34,289.79,234.67,16452835.77,0,,,,
Kamphaeng Phet,10,160.51,297.84,232.44,21066429.12,0,,,,
Tak,10,84.59,540.53,283.6,17552436,0,,,,
Sukhothai,10,112.08,321.17,202.38,16871908.26,0,,,,
Phitsanulok,10,129.78,208.43,171.34,25141199.37,0,,,,
Phichit,10,120.81,174.39,145.7,28664263.22,0,,,,
Phetchabun,10,112.63,222.68,172.76,20605875.71,1,,,,
Ratchaburi,10,233.91,279.53,262.84,33572250.57,1,,,,
Kanchanaburi,10,208.85,333.39,280.07,26726127.71,0,,,,
Suphan Buri,10,108.89,277.93,207.35,5618383.53,0,,,,
Phetchaburi,10,186.31,353.49,287.13,7263070.95,1,,,,
Prachuap Khiri Khan,10,168.64,422.44,269.78,49348897.52,1,,,,
Nakhon Si Thammarat,10,159.63,287.94,246.65,32041150.66,1,,,,
Krabi,10,123.56,316.85,215.52,52404960.23,1,,,,
Phang Nga,10,267.35,542.28,409,33275572.12,0,,,,
Phuket,10,266.83,322.18,291.37,10355271.89,0,,,,
Surat Thani,10,74.62,703.05,290.7,28894275.72,1,,,,
Ranong,10,425.4,958.81,654.51,16694201.37,0,,,,
Chumphon,10,384.43,909.12,495.58,45488917.1,1,,,,
Songkhla,10,113.89,318.45,197.69,32478516.22,0,,,,
Satun,10,216.13,349.2,274.62,31545130.42,1,,,,
Trang,10,209.51,257.53,230.43,29424386.51,0,,,,
Phatthalung,10,200.07,327.04,266.03,26289445.11,1,,,,
Pattani,10,80.12,162.72,128.2,7694062.52,0,,,,
Yala,10,73.66,166.29,121.18,15713876.02,0,,,,
Narathiwat,10,103.27,177.49,153.54,22184404.17,0,,,,
Lopburi,11,16.72,57.3,37.58,8722670.03,0,,,,
Chainat,11,8.6,27.34,16.2,23682656.7,0,,,,
Saraburi,11,24.25,54.07,35.89,2923294.87,0,,,,
Chonburi,11,38.85,173.1,78.7,11319017.89,0,,,,
Rayong,11,64.24,172.95,99.2,15922802.72,0,,,,
Chanthaburi,11,9.11,78.32,46.34,18460418.16,0,,,,
Chachoengsao,11,19.89,66.4,44.93,9174664.91,0,,,,
Prachinburi,11,7.8,38.54,23.18,21851777.16,0,,,,
Nakhon Nayok,11,9.73,40.77,25.39,11773961.86,0,,,,
Sa Kaeo,11,20.33,40.55,33.42,37193369.19,0,,,,
Nakhon Ratchasima,11,0,35.06,10.64,22767984.2,0,,,,
Buriram,11,0.56,22.78,10.95,14055806.19,0,,,,
Surin,11,0,33.28,13.94,13958581.75,0,,,,
Sisaket,11,0.01,13.54,3.73,14810896.18,1,,,,
Ubon Ratchathani,11,0,4.87,0.21,20630426.33,0,,,,
Yasothon,11,0,0.06,0,6286209.15,0,,,,
Chaiyaphum,11,0.13,32.23,7.27,29713290.43,1,,,,
Bueng Kan,11,0.5,2.5,1.58,70155.12,0,,,,
Nong Bua Lamphu,11,0,3.86,1.08,30419695.72,0,,,,
Khon Kaen,11,0,4.68,0.51,16875137.96,1,,,,
Udon Thani,11,0,3.21,0.42,17186879.75,0,,,,
Loei,11,1.54,11.77,4.61,13529579.56,0,,,,
Nong Khai,11,0,2.54,0.77,21599891.95,0,,,,
Maha Sarakham,11,0,6.55,0.67,13016655.59,0,,,,
Roi Et,11,0,5.73,0.41,14669883.22,0,,,,
Kalasin,11,0,0.1,0.03,11208279.07,0,,,,
Sakon Nakhon,11,0,1.63,0.31,86.5,0,,,,
Chiang Mai,11,0.09,73.44,34.13,20264146.45,0,,,,
Lamphun,11,4.88,26.67,12.01,5004568.22,0,,,,
Lampang,11,0.11,37.07,10.32,8599406.57,0,,,,
Uttaradit,11,8.17,37.19,18.67,16085958.93,0,,,,
Phrae,11,2.3,25.02,8.76,16892142.82,0,,,,
Nan,11,6.41,34.07,13.35,22743154.42,0,,,,
Phayao,11,8.11,42.53,18.99,26200648.21,0,,,,
Chiang Rai,11,11.7,77.79,54.51,20554196.06,0,,,,
Mae Hong Son,11,23.17,84.7,57.01,13223820.53,0,,,,
Nakhon Sawan,11,10.52,29.83,17.66,7632560.65,0,,,,
Uthai Thani,11,13.99,31.36,21.64,16452835.77,0,,,,
Kamphaeng Phet,11,9.08,31.11,23.18,21066429.12,0,,,,
Tak,11,13.91,68.58,29.74,17552436,0,,,,
Sukhothai,11,6.64,32.01,18.23,16871908.26,0,,,,
Phitsanulok,11,2.93,22.27,11.32,25141199.37,0,,,,
Phichit,11,1,16.66,7.32,28664263.22,0,,,,
Phetchabun,11,0,41.31,11.63,20605875.71,0,,,,
Ratchaburi,11,46.6,106.08,81.31,33572250.57,0,,,,
Kanchanaburi,11,20.31,83.97,38.17,26726127.71,0,,,,
Suphan Buri,11,17.73,86.16,39.59,5618383.53,0,,,,
Phetchaburi,11,51.11,212.49,124.51,7263070.95,0,,,,
Prachuap Khiri Khan,11,145.73,687.42,276.81,49348897.52,0,,,,
Nakhon Si Thammarat,11,325.05,1034.52,704.17,32041150.66,1,,,,
Krabi,11,180.93,393.27,269.61,52404960.23,1,,,,
Phang Nga,11,270.38,579.97,376.51,33275572.12,0,,,,
Phuket,11,255.56,367.13,303.33,10355271.89,0,,,,
Surat Thani,11,303.6,1083.46,595.86,28894275.72,0,,,,
Ranong,11,526.69,896.89,657.63,16694201.37,0,,,,
Chumphon,11,549.25,1002.08,749.87,45488917.1,0,,,,
Songkhla,11,329.16,804.74,521.5,32478516.22,0,,,,
Satun,11,346.51,535.95,425.57,31545130.42,0,,,,
Trang,11,239.81,646.13,392.86,29424386.51,0,,,,
Phatthalung,11,445.27,764.98,645.55,26289445.11,1,,,,
Pattani,11,299.69,582.24,363.87,7694062.52,0,,,,
Yala,11,289.99,498.83,376.37,15713876.02,1,,,,
Narathiwat,11,362.35,655.97,537.56,22184404.17,0,,,,
Lopburi,12,0,8.17,2.61,8722670.03,0,,,,
Chainat,12,0,3.56,0.89,23682656.7,0,,,,
Saraburi,12,0,13.34,3.07,2923294.87,0,,,,
Chonburi,12,0.59,9.9,5.05,11319017.89,0,,,,
Rayong,12,4.19,15.87,7.82,15922802.72,0,,,,
Chanthaburi,12,0.8,7.83,3.46,18460418.16,0,,,,
Chachoengsao,12,0.1,5.8,1.4,9174664.91,0,,,,
Prachinburi,12,0,20.68,4.23,21851777.16,0,,,,
Nakhon Nayok,12,0.16,20.78,7.7,11773961.86,0,,,,
Sa Kaeo,12,0,14.96,2.74,37193369.19,0,,,,
Nakhon Ratchasima,12,0,68.69,24.9,22767984.2,0,,,,
Buriram,12,0,34.18,4.69,14055806.19,0,,,,
Surin,12,0,3.56,0.39,13958581.75,0,,,,
Sisaket,12,0.51,4.58,3.14,14810896.18,0,,,,
Ubon Ratchathani,12,1.15,6.1,4.07,20630426.33,0,,,,
Yasothon,12,0,3.4,0.42,6286209.15,0,,,,
Chaiyaphum,12,0.25,21.22,4.67,29713290.43,0,,,,
Bueng Kan,12,0,0,0,70155.12,0,,,,
Nong Bua Lamphu,12,0,0.01,0,30419695.72,0,,,,
Khon Kaen,12,0,7.08,0.72,16875137.96,0,,,,
Udon Thani,12,0,0.06,0,17186879.75,0,,,,
Loei,12,0,0.46,0.01,13529579.56,0,,,,
Nong Khai,12,0,0,0,21599891.95,0,,,,
Maha Sarakham,12,0,0.09,0.02,13016655.59,0,,,,
Roi Et,12,0,0.74,0.07,14669883.22,0,,,,
Kalasin,12,0.02,0.2,0.07,11208279.07,0,,,,
Sakon Nakhon,12,0,0.03,0,86.5,0,,,,
Chiang Mai,12,0,1.72,0.19,20264146.45,0,,,,
Lamphun,12,0,0.33,0.12,5004568.22,0,,,,
Lampang,12,0,6.67,1.08,8599406.57,0,,,,
Uttaradit,12,0,0.06,0.01,16085958.93,0,,,,
Phrae,12,0,2.46,0.26,16892142.82,0,,,,
Nan,12,0,0.99,0.15,22743154.42,0,,,,
Phayao,12,0.24,7.6,3.29,26200648.21,0,,,,
Chiang Rai,12,0,4.75,0.93,20554196.06,0,,,,
Mae Hong Son,12,0,0.05,0.01,13223820.53,0,,,,
Nakhon Sawan,12,0,1.29,0.14,7632560.65,0,,,,
Uthai Thani,12,0,3.72,0.78,16452835.77,0,,,,
Kamphaeng Phet,12,0,0.08,0.01,21066429.12,0,,,,
Tak,12,0,0.54,0.01,17552436,0,,,,
Sukhothai,12,0,0.15,0.03,16871908.26,0,,,,
Phitsanulok,12,0,0.3,0.1,25141199.37,0,,,,
Phichit,12,0,0.88,0.06,28664263.22,0,,,,
Phetchabun,12,0,6.4,0.67,20605875.71,0,,,,
Ratchaburi,12,2.08,8.55,4.62,33572250.57,0,,,,
Kanchanaburi,12,0,8.18,2.71,26726127.71,0,,,,
Suphan Buri,12,1.43,14.69,7.38,5618383.53,0,,,,
Phetchaburi,12,0.03,4.99,2.02,7263070.95,0,,,,
Prachuap Khiri Khan,12,0,51.51,13.96,49348897.52,0,,,,
Nakhon Si Thammarat,12,71.8,480.05,263.42,32041150.66,0,,,,
Krabi,12,35.91,108.17,57.76,52404960.23,0,,,,
Phang Nga,12,43.51,86.01,61.86,33275572.12,0,,,,
Phuket,12,64.37,90.08,75.3,10355271.89,0,,,,
Surat Thani,12,58.47,183.16,105.42,28894275.72,0,,,,
Ranong,12,58.21,90.32,71.69,16694201.37,0,,,,
Chumphon,12,26.4,99.52,66.75,45488917.1,1,,,,
Songkhla,12,86.37,299.33,191.4,32478516.22,0,,,,
Satun,12,30.39,160,96.33,31545130.42,0,,,,
Trang,12,55.89,243.66,114.58,29424386.51,0,,,,
Phatthalung,12,134.65,263.74,198.61,26289445.11,1,,,,
Pattani,12,197.31,369.01,267.46,7694062.52,0,,,,
Yala,12,205.91,344.43,294.67,15713876.02,0,,,,
Narathiwat,12,306.68,399.58,350.37,22184404.17,0,,,,
Lopburi,1,2.97,65.39,24.09,8722670.03,0,,,,
Chainat,1,7.03,17.52,11.35,23682656.7,0,,,,
Saraburi,1,5.43,34.95,11.67,2923294.87,0,,,,
Chonburi,1,1.82,51.99,26.39,11319017.89,0,,,,
Rayong,1,31.42,54.08,45.01,15922802.72,0,,,,
Chanthaburi,1,15.96,39.12,25.56,18460418.16,0,,,,
Chachoengsao,1,6.4,35.49,21.64,9174664.91,0,,,,
Prachinburi,1,6.89,19.69,9.94,21851777.16,0,,,,
Nakhon Nayok,1,6.26,23.34,9.87,11773961.86,0,,,,
Sa Kaeo,1,3.95,19.46,11.5,37193369.19,0,,,,
Nakhon Ratchasima,1,0.1,47.83,8.38,22767984.2,0,,,,
Buriram,1,0.43,13.39,4.29,14055806.19,0,,,,
Surin,1,0,12.17,3.03,13958581.75,0,,,,
Sisaket,1,0.3,4.58,1.6,14810896.18,0,,,,
Ubon Ratchathani,1,1.64,4.68,2.9,20630426.33,0,,,,
Yasothon,1,1.68,6.06,4.54,6286209.15,0,,,,
Chaiyaphum,1,7.36,45.94,19.27,29713290.43,0,,,,
Bueng Kan,1,4.96,9.44,6.8,70155.12,0,,,,
Nong Bua Lamphu,1,0,13.19,5.17,30419695.72,0,,,,
Khon Kaen,1,2.83,17.26,7.81,16875137.96,0,,,,
Udon Thani,1,0.3,24.24,6.67,17186879.75,0,,,,
Loei,1,6.02,16.4,13.51,13529579.56,0,,,,
Nong Khai,1,7.66,26.2,15.9,21599891.95,0,,,,
Maha Sarakham,1,0,10.73,5.8,13016655.59,0,,,,
Roi Et,1,2.58,13.95,6.93,14669883.22,0,,,,
Kalasin,1,0.4,7.28,3.38,11208279.07,0,,,,
Sakon Nakhon,1,1.24,8.93,3.54,86.5,0,,,,
Chiang Mai,1,7.76,77.05,29.46,20264146.45,0,,,,
Lamphun,1,5.04,25.95,18.15,5004568.22,0,,,,
Lampang,1,2.71,50.95,22.37,8599406.57,0,,,,
Uttaradit,1,2.97,21.59,13.36,16085958.93,0,,,,
Phrae,1,7.61,26.12,22.19,16892142.82,0,,,,
Nan,1,11.23,43.7,26.35,22743154.42,0,,,,
Phayao,1,23.25,58.7,35.67,26200648.21,0,,,,
Chiang Rai,1,29.58,88.99,68.63,20554196.06,0,,,,
Mae Hong Son,1,11.9,40.52,18.57,13223820.53,0,,,,
Nakhon Sawan,1,0.3,28.89,15.36,7632560.65,0,,,,
Uthai Thani,1,7.6,22.18,14.44,16452835.77,0,,,,
Kamphaeng Phet,1,2.95,17.65,10.58,21066429.12,0,,,,
Tak,1,0.4,27.89,8.25,17552436,0,,,,
Sukhothai,1,2.17,15.99,5.42,16871908.26,0,,,,
Phitsanulok,1,0.58,15.79,6.42,25141199.37,0,,,,
Phichit,1,0,18.73,6.07,28664263.22,0,,,,
Phetchabun,1,7.84,61.88,15.93,20605875.71,0,,,,
Ratchaburi,1,8.17,24,17.42,33572250.57,0,,,,
Kanchanaburi,1,1.4,30.24,7.85,26726127.71,0,,,,
Suphan Buri,1,0.41,31.48,11.73,5618383.53,0,,,,
Phetchaburi,1,13.24,50.7,23.99,7263070.95,0,,,,
Prachuap Khiri Khan,1,8,21.72,15.19,49348897.52,0,,,,
Nakhon Si Thammarat,1,3.21,71.81,29.63,32041150.66,0,,,,
Krabi,1,0.01,25.34,9.15,52404960.23,0,,,,
Phang Nga,1,0,27.97,8.72,33275572.12,0,,,,
Phuket,1,6.01,31.38,16.71,10355271.89,0,,,,
Surat Thani,1,0.42,26.59,12.47,28894275.72,0,,,,
Ranong,1,8.86,15.16,12.47,16694201.37,0,,,,
Chumphon,1,7,20.7,13.96,45488917.1,0,,,,
Songkhla,1,9.07,109.19,60.55,32478516.22,0,,,,
Satun,1,1.25,66.48,37.37,31545130.42,0,,,,
Trang,1,15.93,76.14,50.96,29424386.51,0,,,,
Phatthalung,1,50.62,92.39,79.55,26289445.11,0,,,,
Pattani,1,1.1,26.22,10.88,7694062.52,0,,,,
Yala,1,3.91,28.72,16.68,15713876.02,0,,,,
Narathiwat,1,11.19,29.4,25.09,22184404.17,0,,,,
Lopburi,2,2.01,77.27,26.31,8722670.03,0,,,,
Chainat,2,36.06,63.18,46.12,23682656.7,0,,,,
Saraburi,2,26.74,122.34,75,2923294.87,0,,,,
Chonburi,2,38.21,165.36,71.22,11319017.89,0,,,,
Rayong,2,43.97,165.14,86.71,15922802.72,0,,,,
Chanthaburi,2,82.24,160.29,122.43,18460418.16,0,,,,
Chachoengsao,2,48.51,104.55,75.4,9174664.91,0,,,,
Prachinburi,2,40.04,155.5,78.59,21851777.16,0,,,,
Nakhon Nayok,2,73.54,161.53,106.35,11773961.86,0,,,,
Sa Kaeo,2,73.44,131.09,105.11,37193369.19,0,,,,
Nakhon Ratchasima,2,8.11,158.38,46.56,22767984.2,0,,,,
Buriram,2,19.12,90.26,56.21,14055806.19,0,,,,
Surin,2,17.38,77.87,49.68,13958581.75,0,,,,
Sisaket,2,10.3,45.52,26.77,14810896.18,0,,,,
Ubon Ratchathani,2,14.87,42.18,28.16,20630426.33,0,,,,
Yasothon,2,6,24.27,12.12,6286209.15,0,,,,
Chaiyaphum,2,11.69,52.03,26.83,29713290.43,0,,,,
Bueng Kan,2,62.67,130.4,104.65,70155.12,0,,,,
Nong Bua Lamphu,2,51.35,83.26,69.38,30419695.72,0,,,,
Khon Kaen,2,29.57,77.93,48.99,16875137.96,0,,,,
Udon Thani,2,24.91,140.41,65.17,17186879.75,0,,,,
Loei,2,26.1,92.4,65.13,13529579.56,0,,,,
Nong Khai,2,79.87,148.38,114.87,21599891.95,0,,,,
Maha Sarakham,2,14.99,68.63,27.77,13016655.59,0,,,,
Roi Et,2,6.73,29.52,15.11,14669883.22,0,,,,
Kalasin,2,11.9,45.18,27.48,11208279.07,0,,,,
Sakon Nakhon,2,32.37,112.17,58.4,86.5,0,,,,
Chiang Mai,2,0.09,77.09,29.43,20264146.45,0,,,,
Lamphun,2,32.67,88.32,54.44,5004568.22,0,,,,
Lampang,2,15.02,124.59,49.64,8599406.57,0,,,,
Uttaradit,2,44.83,93.99,73.4,16085958.93,0,,,,
Phrae,2,34.84,77.63,51.36,16892142.82,0,,,,
Nan,2,32.63,55.44,45.66,22743154.42,0,,,,
Phayao,2,26.01,48.63,36.62,26200648.21,0,,,,
Chiang Rai,2,19.86,43.24,35.85,20554196.06,0,,,,
Mae Hong Son,2,6.8,44.23,18.1,13223820.53,0,,,,
Nakhon Sawan,2,21.65,108.02,59.18,7632560.65,0,,,,
Uthai Thani,2,44.56,104.78,65.14,16452835.77,0,,,,
Kamphaeng Phet,2,74.94,137.59,108.62,21066429.12,0,,,,
Tak,2,18.02,114,85.25,17552436,0,,,,
Sukhothai,2,49.11,106.71,82.06,16871908.26,0,,,,
Phitsanulok,2,28.27,114.59,78.8,25141199.37,0,,,,
Phichit,2,30.41,95.18,68.4,28664263.22,0,,,,
Phetchabun,2,3.83,55.05,25.65,20605875.71,0,,,,
Ratchaburi,2,37.6,97.32,63.27,33572250.57,0,,,,
Kanchanaburi,2,38.05,130.78,65.43,26726127.71,0,,,,
Suphan Buri,2,17.42,59.51,37.89,5618383.53,0,,,,
Phetchaburi,2,47.22,167.53,116.13,7263070.95,0,,,,
Prachuap Khiri Khan,2,117.02,298.78,216.27,49348897.52,0,,,,
Nakhon Si Thammarat,2,114.47,481.53,278.34,32041150.66,0,,,,
Krabi,2,0.04,149.34,74.27,52404960.23,0,,,,
Phang Nga,2,86.96,218.87,165.49,33275572.12,0,,,,
Phuket,2,100.31,115.29,106.68,10355271.89,0,,,,
Surat Thani,2,74.53,256.31,179.95,28894275.72,0,,,,
Ranong,2,156.84,320.59,221.48,16694201.37,0,,,,
Chumphon,2,167.44,348.37,276.95,45488917.1,0,,,,
Songkhla,2,178.18,400.17,283.41,32478516.22,0,,,,
Satun,2,118,248.52,187.74,31545130.42,0,,,,
Trang,2,95.11,272.33,175.42,29424386.51,0,,,,
Phatthalung,2,199.64,323.51,283.21,26289445.11,0,,,,
Pattani,2,358.89,493.28,388.51,7694062.52,0,,,,
Yala,2,309.09,453.39,384.36,15713876.02,0,,,,
Narathiwat,2,400.29,536.08,466.52,22184404.17,0,,,,
Lopburi,3,36.5,227.51,116.9,8722670.03,0,,,,
Chainat,3,30.32,104.35,60.63,23682656.7,0,,,,
Saraburi,3,46.77,152.13,110.82,2923294.87,0,,,,
Chonburi,3,24.52,189.62,92.72,11319017.89,0,,,,
Rayong,3,53.08,189.36,103.7,15922802.72,0,,,,
Chanthaburi,3,102.01,271.78,153.58,18460418.16,0,,,,
Chachoengsao,3,47.43,141.59,106.42,9174664.91,0,,,,
Prachinburi,3,50.76,179.23,119.51,21851777.16,0,,,,
Nakhon Nayok,3,75.41,136.59,110.44,11773961.86,0,,,,
Sa Kaeo,3,33.24,125.74,84.57,37193369.19,0,,,,
Nakhon Ratchasima,3,46.14,170.13,102.12,22767984.2,0,,,,
Buriram,3,30.41,202.12,104.62,14055806.19,0,,,,
Surin,3,0.02,244.13,140.89,13958581.75,0,,,,
Sisaket,3,87.7,151.4,112.87,14810896.18,0,,,,
Ubon Ratchathani,3,99.72,137.8,119.32,20630426.33,0,,,,
Yasothon,3,93.88,222.82,148.88,6286209.15,0,,,,
Chaiyaphum,3,56.12,221.88,122.16,29713290.43,0,,,,
Bueng Kan,3,87.29,165.6,135.8,70155.12,0,,,,
Nong Bua Lamphu,3,54.6,115.59,75.48,30419695.72,0,,,,
Khon Kaen,3,38.05,98.67,64.44,16875137.96,0,,,,
Udon Thani,3,36.71,182.77,83.63,17186879.75,0,,,,
Loei,3,60.94,133.19,109.64,13529579.56,0,,,,
Nong Khai,3,102.22,193.28,148.89,21599891.95,0,,,,
Maha Sarakham,3,42.7,126.87,80.86,13016655.59,0,,,,
Roi Et,3,33.98,210.09,119.7,14669883.22,0,,,,
Kalasin,3,56.53,124.6,95.37,11208279.07,0,,,,
Sakon Nakhon,3,56.38,143,80.96,86.5,0,,,,
Chiang Mai,3,0.17,83.6,45.59,20264146.45,0,,,,
Lamphun,3,29.67,62.8,47.94,5004568.22,0,,,,
Lampang,3,20.66,117.79,48.15,8599406.57,0,,,,
Uttaradit,3,7.29,159.65,48.08,16085958.93,0,,,,
Phrae,3,0.01,155.68,42.95,16892142.82,0,,,,
Nan,3,24.66,241.99,154.47,22743154.42,0,,,,
Phayao,3,74.28,192.43,120.59,26200648.21,0,,,,
Chiang Rai,3,39.92,101.13,70.1,20554196.06,0,,,,
Mae Hong Son,3,18.1,50.24,27.77,13223820.53,0,,,,
Nakhon Sawan,3,39.08,192.08,86.14,7632560.65,0,,,,
Uthai Thani,3,57.23,109.97,82.71,16452835.77,0,,,,
Kamphaeng Phet,3,16.1,97.32,40.61,21066429.12,0,,,,
Tak,3,10.52,115.79,56.34,17552436,0,,,,
Sukhothai,3,11.22,36.56,22.29,16871908.26,0,,,,
Phitsanulok,3,18.24,90.22,42.21,25141199.37,0,,,,
Phichit,3,25.51,155.48,51.73,28664263.22,0,,,,
Phetchabun,3,72.86,282.87,135.84,20605875.71,0,,,,
Ratchaburi,3,0.02,68.78,31.54,33572250.57,0,,,,
Kanchanaburi,3,24.86,125.79,87.45,26726127.71,0,,,,
Suphan Buri,3,18.02,76.46,39.18,5618383.53,0,,,,
Phetchaburi,3,16.08,48.95,36.02,7263070.95,0,,,,
Prachuap Khiri Khan,3,33.31,116.96,72.14,49348897.52,0,,,,
Nakhon Si Thammarat,3,85.82,234.28,150.69,32041150.66,0,,,,
Krabi,3,119.82,310.63,206.44,52404960.23,0,,,,
Phang Nga,3,142.66,222.38,188.81,33275572.12,0,,,,
Phuket,3,124.63,152.09,134.56,10355271.89,0,,,,
Surat Thani,3,70.13,197.96,129.37,28894275.72,0,,,,
Ranong,3,119.81,222.17,173,16694201.37,0,,,,
Chumphon,3,104.2,214.2,136.15,45488917.1,0,,,,
Songkhla,3,57.15,245.93,126.6,32478516.22,0,,,,
Satun,3,157.36,369.62,243.27,31545130.42,0,,,,
Trang,3,146.21,184.24,170.94,29424386.51,0,,,,
Phatthalung,3,106.89,173.87,133.95,26289445.11,0,,,,
Pattani,3,99.7,163.08,119.98,7694062.52,0,,,,
Yala,3,115.98,156.37,134.93,15713876.02,0,,,,
Narathiwat,3,133.87,177.29,155.64,22184404.17,0,,,,
Lopburi,4,38.61,109.87,76.55,8722670.03,0,,,,
Chainat,4,16.66,85.47,63.58,23682656.7,0,,,,
Saraburi,4,58.18,108.19,78.66,2923294.87,0,,,,
Chonburi,4,12.6,165.37,101.68,11319017.89,0,,,,
Rayong,4,53.27,145.01,92.49,15922802.72,0,,,,
Chanthaburi,4,54.91,142.27,109.22,18460418.16,0,,,,
Chachoengsao,4,59.66,178.48,131.08,9174664.91,0,,,,
Prachinburi,4,74,157.67,117.78,21851777.16,0,,,,
Nakhon Nayok,4,74.34,145.94,103.41,11773961.86,0,,,,
Sa Kaeo,4,123.81,181.24,145.31,37193369.19,0,,,,
Nakhon Ratchasima,4,48.62,235.15,112.63,22767984.2,0,,,,
Buriram,4,70.65,271.38,182.17,14055806.19,0,,,,
Surin,4,96.14,169.04,137.27,13958581.75,0,,,,
Sisaket,4,69.79,125.38,110.48,14810896.18,0,,,,
Ubon Ratchathani,4,59.91,163.19,113.51,20630426.33,0,,,,
Yasothon,4,41.22,95.81,56.31,6286209.15,0,,,,
Chaiyaphum,4,36.85,89.86,62,29713290.43,0,,,,
Bueng Kan,4,38.8,87.26,60.19,70155.12,0,,,,
Nong Bua Lamphu,4,55.9,80.44,66.66,30419695.72,0,,,,
Khon Kaen,4,49.44,85.35,60.63,16875137.96,0,,,,
Udon Thani,4,30.11,114.07,64.22,17186879.75,0,,,,
Loei,4,32.9,103.49,74.84,13529579.56,0,,,,
Nong Khai,4,49.2,120.39,87.64,21599891.95,0,,,,
Maha Sarakham,4,27.22,147.59,68.86,13016655.59,0,,,,
Roi Et,4,48.67,147.01,83.34,14669883.22,0,,,,
Kalasin,4,44.85,91.71,72.61,11208279.07,0,,,,
Sakon Nakhon,4,35.73,141.39,83.23,86.5,0,,,,
Chiang Mai,4,0.39,186.19,92.3,20264146.45,0,,,,
Lamphun,4,65.93,132.73,90.27,5004568.22,0,,,,
Lampang,4,57.72,229.41,115.61,8599406.57,0,,,,
Uttaradit,4,45.53,198.74,113.98,16085958.93,0,,,,
Phrae,4,97.03,252.08,166.67,16892142.82,0,,,,
Nan,4,80.42,199.76,107.54,22743154.42,0,,,,
Phayao,4,96.24,249.85,163.38,26200648.21,0,,,,
Chiang Rai,4,86.71,190.93,110.52,20554196.06,0,,,,
Mae Hong Son,4,79.72,108.12,92.41,13223820.53,0,,,,
Nakhon Sawan,4,26.92,115.7,78.82,7632560.65,0,,,,
Uthai Thani,4,9.94,89.97,60.82,16452835.77,0,,,,
Kamphaeng Phet,4,51.18,107.44,75.91,21066429.12,0,,,,
Tak,4,10.71,119.89,58.67,17552436,0,,,,
Sukhothai,4,28.7,127.34,76.49,16871908.26,0,,,,
Phitsanulok,4,35.63,129.6,79.71,25141199.37,0,,,,
Phichit,4,74.96,138.19,109.66,28664263.22,0,,,,
Phetchabun,4,16.62,92.51,49.91,20605875.71,0,,,,
Ratchaburi,4,53.8,106.39,81.62,33572250.57,0,,,,
Kanchanaburi,4,16.22,119.29,85.24,26726127.71,0,,,,
Suphan Buri,4,71.23,136.78,102.15,5618383.53,0,,,,
Phetchaburi,4,35.62,95.31,63.35,7263070.95,0,,,,
Prachuap Khiri Khan,4,6.51,142.02,51.28,49348897.52,0,,,,
Nakhon Si Thammarat,4,112.21,495.32,284.16,32041150.66,0,,,,
Krabi,4,74.62,157.49,109.16,52404960.23,0,,,,
Phang Nga,4,103.97,200.08,157.37,33275572.12,0,,,,
Phuket,4,100.61,112.87,104.27,10355271.89,0,,,,
Surat Thani,4,83.35,287.07,188.83,28894275.72,0,,,,
Ranong,4,104.23,177.24,146.15,16694201.37,0,,,,
Chumphon,4,111.61,192.48,158.26,45488917.1,0,,,,
Songkhla,4,124.35,314.34,173.59,32478516.22,0,,,,
Satun,4,150.62,187.65,169.76,31545130.42,0,,,,
Trang,4,121.29,263.77,169.63,29424386.51,0,,,,
Phatthalung,4,175.13,321.75,255.43,26289445.11,0,,,,
Pattani,4,113.5,213.74,153.89,7694062.52,0,,,,
Yala,4,149.09,198.23,172.83,15713876.02,0,,,,
Narathiwat,4,179.1,230.69,203.81,22184404.17,0,,,,
Lopburi,5,68,207.63,141.44,8722670.03,0,,,,
Chainat,5,158.99,200.28,177.52,23682656.7,0,,,,
Saraburi,5,74.45,353.39,170.14,2923294.87,0,,,,
Chonburi,5,64.08,188.2,122.12,11319017.89,0,,,,
Rayong,5,93.44,257.3,157.75,15922802.72,0,,,,
Chanthaburi,5,188.6,368.5,272.23,18460418.16,0,,,,
Chachoengsao,5,125.22,242,167.88,9174664.91,0,,,,
Prachinburi,5,150.48,507.47,230.86,21851777.16,0,,,,
Nakhon Nayok,5,182.36,534.31,312.74,11773961.86,0,,,,
Sa Kaeo,5,135.52,255.47,199.43,37193369.19,0,,,,
Nakhon Ratchasima,5,94,520.13,208.56,22767984.2,0,,,,
Buriram,5,159,384.38,272.64,14055806.19,0,,,,
